timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,race|[+%] Proportion of Positive labels for the group,race|[+%] Proportion of Positive true labels for the group,race|[DI] Disparate Impact,race|[SPD] Statistical Parity Difference,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[AOD] Abs Average Odds Difference,race|[EOD] Abs Equal Opportunity Difference,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference,VAR|race|[+%] Proportion of Positive labels for the group,VAR|race|[+%] Proportion of Positive true labels for the group,VAR|race|[DI] Disparate Impact,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[AOD] Abs Average Odds Difference,VAR|race|[EOD] Abs Equal Opportunity Difference
2023-03-18 16:45:22.411978,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Other,0.838793182865039,0.7183402,0.5433384,0.6185132000000001,0.0007638706925163992,0.7898500695561009,0.1655686,0.0829368,0.0905556947145699,0.09407673788797538,2.4244648,-0.09227220000000001,-0.0182364,-0.012076999999999997,0.0829368,0.1655686,1.575552788410367e-05,0.00025310413396,0.0001507070734399999,7.592074975999998e-05,1.1353343847787566e-07,0.18820427373037266,0.01888144693204,0.0050118631617600004,0.001389657152870777,0.0014017231388206194,1.2174449317409601,0.00148931330916,0.01155780967104,0.04614855430900001,0.0050118631617600004,0.01888144693204
2023-03-18 16:45:22.400056,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Amer-Indian-Eskimo,0.838793182865039,0.7183402,0.5433384,0.6185132000000001,0.0008215271732456,0.7140361780223846,0.1561438,0.0808402,0.0960918159118334,0.1055897811358523,2.1845006,-0.086794,-0.0299342,-0.039089,0.0808402,0.1561438,1.575552788410367e-05,0.00025310413396,0.0001507070734399,7.592074975999998e-05,1.228927261772125e-07,0.1382309058556335,0.01390591256356,0.00356752002996,0.0013453429962779,0.0013428938623769,0.6440349012976399,0.001345505732,0.00920660163636,0.036758848921,0.00356752002996,0.01390591256356
2023-03-18 16:45:22.387167,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Black,0.838793182865039,0.7183402,0.5433384,0.6185132000000001,0.0091540072366811,0.8146806302113787,0.0886668,0.0632984,0.0856040739048788,0.1261496098772247,2.275215,-0.1065696,-0.0632984,-0.0857788,0.0632984,0.0886668,1.575552788410367e-05,0.00025310413396,0.0001507070734399,7.592074975999998e-05,1.1149941954642508e-06,0.0148092598851665,0.0023494816777599,0.00078542080944,9.75835997706818e-05,8.619280776200601e-05,0.0767033064009999,0.00014745785984,0.00078542080944,0.0028532805705599,0.00078542080944,0.0023494816777599
2023-03-18 16:45:22.375245,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Asian-Pac-Islander,0.838793182865039,0.7183402,0.5433384,0.6185132000000001,0.0016620584905847,0.2515202964301729,0.065051,0.046461,0.2335115230756685,0.2645512826821385,0.7849973999999998,0.053165,0.0429018,0.046115,0.046461,0.065051,1.575552788410367e-05,0.00025310413396,0.0001507070734399,7.592074975999998e-05,8.638785295839806e-07,0.0160300931248376,0.002182352709,0.000960353605,0.0009384920186234,0.0005253216408406,0.0102598840872399,0.0009019782889999,0.00127841368276,0.0042873920849999,0.000960353605,0.002182352709
2023-03-18 16:45:22.361655,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],White,0.838793182865039,0.7183402,0.5433384,0.6185132000000001,0.0090824103602783,0.4816902944386219,0.0414258,0.0294398,0.1926804898567307,0.2553248486910305,0.6200002,0.0733274,0.0275806,0.0310902,0.0294398,0.0414258,1.575552788410367e-05,0.00025310413396,0.0001507070734399,7.592074975999998e-05,1.996112790271188e-06,0.0072903857955166,0.0008441149603599,0.00032016622996,4.970839579016911e-05,3.513275819316191e-05,0.0028346528699599,0.00012703165124,0.0004261785576399,0.0015936113299599,0.00032016622996,0.0008441149603599
2023-03-18 16:39:40.666470,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Other,0.838034699831107,0.7184272,0.5387442,0.6155330000000001,0.0008982943536682,1.0456099191079404,0.1862178,0.0970747999999999,0.0738881413817242,0.0903753066251403,3.3881689999999995,-0.1075918,-0.034322,-0.0323969999999999,0.0970747999999999,0.1862178,2.3733270210927653e-05,0.0002422792001599,0.0002623279523599,0.000143182769,9.872568170242169e-08,0.3219886282223616,0.0206906227931599,0.00547078502496,0.0014344344800638,0.0011463283607131,5.134643516309,0.00138908521876,0.013716302136,0.0543181262209999,0.00547078502496,0.0206906227931599
2023-03-18 16:39:40.653890,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Amer-Indian-Eskimo,0.838034699831107,0.7184272,0.5387442,0.6155330000000001,0.0008713395587735,0.7640775385154184,0.162971,0.0871232,0.0912629907143955,0.1131027862458466,2.4300762,-0.0901913999999999,-0.0599839999999999,-0.100987,0.0871232,0.162971,2.3733270210927653e-05,0.0002422792001599,0.0002623279523599,0.000143182769,1.138427043379775e-07,0.1940188569737259,0.014878579365,0.00400565554576,0.0009793724566487,0.001121626390056,2.79856119675556,0.00107520795204,0.007998027268,0.031239752037,0.00400565554576,0.014878579365
2023-03-18 16:39:40.641630,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Black,0.838034699831107,0.7184272,0.5387442,0.6155330000000001,0.0099277404514925,0.925832132227238,0.1228652,0.083513,0.0765616422604905,0.1241245119026121,2.5519960000000004,-0.1149902,-0.083513,-0.1226831999999999,0.083513,0.1228652,2.3733270210927653e-05,0.0002422792001599,0.0002623279523599,0.000143182769,1.2790315308883853e-06,0.0209788220868934,0.0021892315329599,0.000617389345,0.0001033994504424,0.0001021476405799,0.1631688016399999,0.00014853873796,0.000617389345,0.00223392134176,0.000617389345,0.0021892315329599
2023-03-18 16:39:40.629722,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Asian-Pac-Islander,0.838034699831107,0.7184272,0.5387442,0.6155330000000001,0.0006490112995848,0.1161002250161462,0.0663021999999999,0.033412,0.185266259243884,0.2645597771402675,0.9914966,0.0048404,-0.0169044,-0.0387798,0.033412,0.0663021999999999,2.3733270210927653e-05,0.0002422792001599,0.0002623279523599,0.000143182769,1.8372204604777778e-07,0.0054808117192139,0.00266748858516,0.000586345856,0.0006076112901071,0.0008843990090248,0.01863501737444,0.00062068983184,0.00141694886064,0.0055595974219599,0.000586345856,0.00266748858516
2023-03-18 16:39:40.615525,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],White,0.838034699831107,0.7184272,0.5387442,0.6155330000000001,0.0115536487760993,0.6575211975240671,0.0924789999999999,0.0638036,0.1940942402752258,0.2558668239485219,0.521315,0.0930454,0.0638036,0.0924789999999999,0.0638036,0.0924789999999999,2.3733270210927653e-05,0.0002422792001599,0.0002623279523599,0.000143182769,2.74181336199618e-06,0.0124995217101055,0.0016741840329999,0.0004513118750399,4.290096488809668e-05,2.681919368714582e-05,0.003212579141,0.00015756334084,0.0004513118750399,0.0016741840329999,0.0004513118750399,0.0016741840329999
