timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,accuracy,precision,recall,f1score,[MEOD] M Average Odds Difference,[MEOD] M Equal Opportunity Difference,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[MEOD] M Average Odds Difference,VAR|[MEOD] M Equal Opportunity Difference,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness
2023-03-24 09:42:13.929036,50,True,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",0.6500069589422407,0.6533404,0.7169132,0.6836356000000001,0.233464,0.16148300000000002,0.04053126221265306,0.421196910236254,6.632738796563033e-06,8.381055840000026e-06,3.197378975999996e-05,6.940928639999997e-06,0.00032925783600000003,0.00015754048100000002,3.905419204443391e-06,0.00033837786592477535
2023-03-24 09:41:39.540188,50,True,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",0.6559638135003479,0.6554525999999999,0.7332464000000001,0.6921564000000001,0.2031905999999999,0.169003,0.0497577154911284,0.4013206138290517,9.780098393728875e-06,9.131155239999976e-06,3.3429487039999884e-05,9.836787040000013e-06,0.00022424350964,0.0004606995409999,6.8045302529461255e-06,0.0005414663612938
2023-03-24 09:41:27.613199,50,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.6590118302018094,0.6925999999999999,0.6856099999999999,0.6890900000000001,0.01453,0.0593599999999999,0.0067095438236603,0.0904348654411505,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,3.009265538105056e-36,4.814824860968091e-35,7.52316384526264e-37,1.9259299443872363e-34
2023-03-24 09:41:22.892423,50,True,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.6666666666666665,0.6721700000000002,0.77146,0.7184000000000001,0.32321,0.24211,0.0541068655267948,0.5008504787091712,1.232595164407831e-32,1.232595164407831e-32,0.0,1.232595164407831e-32,0.0,7.703719777548943e-34,4.814824860968091e-35,1.232595164407831e-32
2023-03-24 09:41:19.520175,50,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",0.8257945647167204,0.6523663999999999,0.5827958,0.6156158,0.0731306,0.1339404,0.0228876567572551,0.824978398368489,1.0995029157690404e-06,6.974283040000005e-06,1.2824248359999964e-05,6.65494836e-06,6.397681364e-05,0.0002111404038399,2.6467318839875375e-07,0.0007042190563785
2023-03-24 09:38:49.096668,50,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",0.837561799477967,0.7068266,0.5491728,0.6180984,0.2013624,0.313683,0.0420887877365065,1.9302992107961168,1.3154053065018964e-06,9.445042439999982e-06,1.343898816000004e-05,9.407873439999968e-06,5.580568223999999e-05,0.000226192989,3.755728095828774e-07,0.0055854030808633
2023-03-24 09:38:05.514425,50,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8080761553815445,0.5701999999999999,0.8091000000000002,0.66896,0.0259499999999999,0.11368,0.039907971794544,0.8388278592525831,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,1.2037062152420224e-35,1.9259299443872363e-34,4.814824860968091e-35,0.0
2023-03-24 09:37:42.045900,50,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8499923230462153,0.73138,0.59129,0.6539100000000001,0.08434,0.11246,0.0412339289343456,1.6693514205640845,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.9259299443872363e-34,0.0,0.0
