timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,sex|[+%] Proportion of Positive labels for the group,race|[+%] Proportion of Positive labels for the group,sex|[+%] Proportion of Positive true labels for the group,race|[+%] Proportion of Positive true labels for the group,sex|[s0 +%] Proportion of Positive labels for the group where sex is 0,race|[s0 +%] Proportion of Positive labels for the group where sex is 0,sex|[s0 +%] Proportion of Positive true labels for the group where sex is 0,race|[s0 +%] Proportion of Positive true labels for the group where sex is 0,sex|[s1 +%] Proportion of Positive labels for the group where sex is 1,race|[s1 +%] Proportion of Positive labels for the group where sex is 1,sex|[s1 +%] Proportion of Positive true labels for the group where sex is 1,race|[s1 +%] Proportion of Positive true labels for the group where sex is 1,sex|[AOD] Abs Average Odds Difference,race|[AOD] Abs Average Odds Difference,sex|[EOD] Abs Equal Opportunity Difference,race|[EOD] Abs Equal Opportunity Difference,sex|[SPD] Abs Statistical Parity Difference,race|[SPD] Abs Statistical Parity Difference,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,race|[DI] Disparate Impact,sex|[FR] Flip Rate,race|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|sex|[+%] Proportion of Positive labels for the group,VAR|race|[+%] Proportion of Positive labels for the group,VAR|sex|[+%] Proportion of Positive true labels for the group,VAR|race|[+%] Proportion of Positive true labels for the group,VAR|sex|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|race|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|sex|[s0 +%] Proportion of Positive true labels for the group where sex is 0,VAR|race|[s0 +%] Proportion of Positive true labels for the group where sex is 0,VAR|sex|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|race|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|sex|[s1 +%] Proportion of Positive true labels for the group where sex is 1,VAR|race|[s1 +%] Proportion of Positive true labels for the group where sex is 1,VAR|sex|[AOD] Abs Average Odds Difference,VAR|race|[AOD] Abs Average Odds Difference,VAR|sex|[EOD] Abs Equal Opportunity Difference,VAR|race|[EOD] Abs Equal Opportunity Difference,VAR|sex|[SPD] Abs Statistical Parity Difference,VAR|race|[SPD] Abs Statistical Parity Difference,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|race|[DI] Disparate Impact,VAR|sex|[FR] Flip Rate,VAR|race|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference
2023-03-16 22:33:09.994595,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Other,0.24247089770134408,0.10461681709259774,0.3045954165690081,0.08821406423226082,0.0,0.06885868569455106,0.0,0.044206997164639744,0.24247089770134408,0.1267546309401694,0.3045954165690081,0.11679494404197246,0.0389646,0.1171952,0.0679122,0.22116999999999998,0.11038980000000001,0.1022086,0.0389646,-0.056262000000000006,0.0675754,-0.0823268,0.11038980000000001,-0.1022086,-0.8401084,0.49472119999999997,0.0,0.0,0.024427699656256824,0.0008455719629962623,0.6084033490133415,0.8146174461176993,0.8258007062797482,0.6600076,0.5661438000000001,0.6092932000000001,0.02483864358587506,0.02483864358587505,1.6713059377844155,0.21964340719159195,0.5567904,0.29472360000000003,8.741998467108607e-05,0.002271207111114589,3.576218024160365e-05,0.0015539239533349453,0.0,0.003583450526105612,0.0,0.002719699233757587,8.741998467108607e-05,0.0038844271190857688,3.576218024160365e-05,0.0029181085545384533,0.00023154176083999995,0.00922547368096,0.0009433472531600001,0.033007840272,8.141096996e-05,0.0022235307560399997,0.00023154176083999995,0.01979477594,0.0009889794768399999,0.07514630717376,8.141096996e-05,0.0022235307560399997,0.00966285461344,0.05190268287056,0.0,0.0,4.075958690496491e-06,1.6123279589218295e-07,0.0028385421020168562,0.31315112339842877,1.3620408264009098e-05,0.00017761841023999992,0.00020182822356000003,7.932919376000005e-05,4.0127549726218175e-06,4.012754972621806e-06,0.704190544490572,0.002221737057363422,0.04346419327984,0.01208452552704
2023-03-16 22:33:09.977579,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Amer-Indian-Eskimo,0.242470897701344,0.1150445455295736,0.3045954165690081,0.1223906776017905,0.0,0.1026736371381393,0.0,0.1078067701121708,0.242470897701344,0.12150031043097,0.3045954165690081,0.1306492151626102,0.0389646,0.0822382,0.0679122,0.1595624,0.1103898,0.0918368,0.0389646,-0.0354986,0.0675754,-0.0371312,0.1103898,-0.0918368,-0.8401084,0.4455665999999999,0.0,0.0,0.0244276996562568,0.0009001920806133,0.6084033490133415,0.6420641482630329,0.8258007062797482,0.6600076,0.5661438000000001,0.6092932000000001,0.0249397813521523,0.0249397813521523,1.3131845605144148,0.1979706893770076,0.4114484,0.2106163999999999,8.741998467108607e-05,0.0013594565194805,3.576218024160365e-05,0.0014138391288862,0.0,0.0032233363045181,0.0,0.0025526051877118,8.741998467108607e-05,0.0026978158570502,3.576218024160365e-05,0.0023913459929502,0.0002315417608399,0.00412369966676,0.00094334725316,0.01373141616624,8.141096996e-05,0.00120482458976,0.0002315417608399,0.00962667060404,0.0009889794768399,0.03781284964656,8.141096996e-05,0.00120482458976,0.00966285461344,0.02887609576644,0.0,0.0,4.075958690496491e-06,1.2053867624652326e-07,0.0028385421020168,0.1132161315982979,1.3620408264009098e-05,0.0001776184102399,0.00020182822356,7.932919376000005e-05,3.7854609427295546e-06,3.785460942729523e-06,0.4447774298032981,0.0017856903951719,0.03003180063344,0.00845088301904
2023-03-16 22:33:09.957679,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Black,0.242470897701344,0.1112775060114329,0.3045954165690081,0.1235043996822955,0.0,0.080104281490356,0.0,0.0572736716492765,0.242470897701344,0.1419370238189558,0.3045954165690081,0.1886919581625916,0.0389646,0.0518162,0.0679122,0.0688116,0.1103898,0.1048135999999999,0.0389646,-0.0512897999999999,0.0675754,-0.0612616,0.1103898,-0.1048135999999999,-0.8401084,0.4846232,0.0,0.0,0.0244276996562568,0.0091409527612386,0.6084033490133415,0.6686500292487402,0.8258007062797482,0.6600076,0.5661438000000001,0.6092932000000001,0.027551436474392,0.027551436474392,1.1573995028764683,0.2046284427744452,0.1586724,0.0929944,8.741998467108607e-05,0.0001410275659464,3.576218024160365e-05,0.0001411284433069,0.0,0.0002179686190048,0.0,8.83570272519809e-05,8.741998467108607e-05,0.0002873828387123,3.576218024160365e-05,0.0004713717304932,0.0002315417608399,0.00092302232356,0.00094334725316,0.00257843169744,8.141096996e-05,0.00017831104704,0.0002315417608399,0.00097729732196,0.0009889794768399,0.00356048435744,8.141096996e-05,0.00017831104704,0.00966285461344,0.00304657820976,0.0,0.0,4.075958690496491e-06,1.6390799372427222e-06,0.0028385421020168,0.0117021937877522,1.3620408264009098e-05,0.0001776184102399,0.00020182822356,7.932919376000005e-05,3.916608676573277e-06,3.916608676573311e-06,0.0393282003962806,0.0003903166016381,0.00447966469824,0.00121911104864
2023-03-16 22:33:09.940739,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",Asian-Pac-Islander,0.242470897701344,0.272493622848685,0.3045954165690081,0.2646885713598287,0.0,0.1687976291961999,0.0,0.1158898731824491,0.242470897701344,0.3263736917674364,0.3045954165690081,0.3414359081045809,0.0389646,0.0591759999999999,0.0679122,0.0743693999999999,0.1103898,0.0687102,0.0389646,0.0584563999999999,0.0675754,0.062633,0.1103898,0.0687102,-0.8401084,-0.3391596,0.0,0.0,0.0244276996562568,0.0021197063054205,0.6084033490133415,0.2859991862130411,0.8258007062797482,0.6600076,0.5661438000000001,0.6092932000000001,0.0240190202688789,0.0240190202688789,0.9275028272013788,0.258798455679742,0.263134,0.1523916,8.741998467108607e-05,0.0007983253626506,3.576218024160365e-05,0.0008974339766427,0.0,0.001273319103466,0.0,0.0010992178740804,8.741998467108607e-05,0.0013740105693515,3.576218024160365e-05,0.0016090314021561,0.0002315417608399,0.0011282765999999,0.00094334725316,0.0023222548016399,8.141096996e-05,0.0008617409099599,0.0002315417608399,0.00121292487504,0.0009889794768399,0.003930169769,8.141096996e-05,0.0008617409099599,0.00966285461344,0.02150045916384,0.0,0.0,4.075958690496491e-06,8.348790160877774e-07,0.0028385421020168,0.0121715468099396,1.3620408264009098e-05,0.0001776184102399,0.00020182822356,7.932919376000005e-05,3.6717407832641055e-06,3.671740783264111e-06,0.019358792847292,0.0031277171845996,0.016858636112,0.00420398699744
2023-03-16 22:33:09.921847,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",White,0.242470897701344,0.2162473426612219,0.3045954165690081,0.255106365347645,0.0,0.1410922686888576,0.0,0.1192375594219715,0.242470897701344,0.2500618355890303,0.3045954165690081,0.3162752380256156,0.0389646,0.0240544,0.0679122,0.037037,0.1103898,0.0700782,0.0389646,0.0177104,0.0675754,0.0124154,0.1103898,0.0700782,-0.8401084,-0.4863862000000001,0.0,0.0,0.0244276996562568,0.0087670104994277,0.6084033490133415,0.3935870928866981,0.8258007062797482,0.6600076,0.5661438000000001,0.6092932000000001,0.0259460764071073,0.0259460764071073,0.9708901825676448,0.1871283644192031,0.1454823999999999,0.0808924,8.741998467108607e-05,7.188110766451651e-05,3.576218024160365e-05,2.5007211167174742e-05,0.0,6.555536202391744e-05,0.0,4.489755553873694e-05,8.741998467108607e-05,9.81474308917038e-05,3.576218024160365e-05,4.469478354610664e-05,0.0002315417608399,0.0002916389286399,0.00094334725316,0.0007799502969999,8.141096996e-05,0.00013832663476,0.0002315417608399,0.00055659481984,0.0009889794768399,0.00199754750884,8.141096996e-05,0.00013832663476,0.00966285461344,0.01239986950356,0.0,0.0,4.075958690496491e-06,2.297852543509881e-06,0.0028385421020168,0.0054855193648459,1.3620408264009098e-05,0.0001776184102399,0.00020182822356,7.932919376000005e-05,4.083299911347622e-06,4.083299911347633e-06,0.0233432560209833,0.0003699554791415,0.00362345393024,0.00096511113824
2023-03-16 22:22:02.223190,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Other,0.2418663480913007,0.0694513494486648,0.3064803286373564,0.0943733100152689,0.0,0.0470689475657977,0.0,0.0559848193939933,0.2418663480913007,0.0853280518669919,0.3064803286373564,0.1198510798220922,0.1579542,0.1094479999999999,0.240458,0.2118328,0.1880645999999999,0.1111778,0.1579542,-0.0630288,0.240458,-0.0864356,0.1880645999999999,-0.1111778,-3.5389147999999992,0.6151302,0.1261992,0.008788,0.0416035971850367,0.0008984607878574,1.5068710714524585,1.0913123146312202,0.838559803469983,0.7214601999999999,0.5379434,0.6162097999999999,0.0420719250770801,0.0420719250770801,2.169521193397164,0.248450085192414,0.59001,0.3174212,5.613878996417995e-05,0.0009506828312018,3.394258733547855e-05,0.0014466305648368,0.0,0.0017567833201499,0.0,0.0018343200074707,5.613878996417995e-05,0.0019000998070708,3.394258733547855e-05,0.0026299259360807,0.00028600400036,0.0097171476319999,0.000930307972,0.03363164286016,0.00010360583284,0.00097999786916,0.00028600400036,0.01772338270656,0.000930307972,0.07103366506864,0.00010360583284,0.00097999786916,0.24840480948896,0.02901011836196,4.785203936000001e-05,2.164308e-06,5.089298093247978e-06,6.296486224737365e-08,0.0114462193835126,0.3785968478456216,1.909533871349543e-05,0.00018271084596,0.00021182437044,0.0001409423579599,5.297990092108274e-06,5.297990092108289e-06,0.4779243389830982,0.0008045107957784,0.031639832724,0.00721333355856
2023-03-16 22:22:02.207279,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Amer-Indian-Eskimo,0.2418663480913007,0.0907270381237118,0.3064803286373564,0.1173555192775595,0.0,0.0367712413178207,0.0,0.0985761679404489,0.2418663480913007,0.1226473572582514,0.3064803286373564,0.12762251341209,0.1579542,0.0986396,0.240458,0.1872964,0.1880645999999999,0.089838,0.1579542,-0.084166,0.240458,-0.1514244,0.1880645999999999,-0.089838,-3.5389147999999992,0.497737,0.1261104,0.008482,0.0416035971850367,0.0008328140515906,1.5068710714524585,0.7834861952289883,0.838559803469983,0.7214601999999999,0.5379434,0.6162097999999999,0.0419370091856349,0.0419370091856349,2.234123389200872,0.2507075852926442,0.5083216,0.2817882,5.613878996417995e-05,0.0011882446677343,3.394258733547855e-05,0.0010477701351642,0.0,0.0015411377521075,0.0,0.0031308658840778,5.613878996417995e-05,0.002591718729129,3.394258733547855e-05,0.0022654515945728,0.00028600400036,0.00504013018784,0.000930307972,0.0170590054870399,0.00010360583284,0.001173872744,0.00028600400036,0.00768598532,0.000930307972,0.02920959802464,0.00010360583284,0.001173872744,0.24840480948896,0.0354133730929999,4.736789984e-05,1.98408e-06,5.089298093247978e-06,1.0322544149139716e-07,0.0114462193835126,0.2330103784256402,1.909533871349543e-05,0.00018271084596,0.00021182437044,0.0001409423579599,5.165903894592417e-06,5.165903894592422e-06,0.4767562285026704,0.0007299988120529,0.0287965965374399,0.00697967467076
2023-03-16 22:22:02.191335,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Black,0.2418663480913007,0.0748116510159946,0.3064803286373564,0.1235068518231978,0.0,0.0291955505201062,0.0,0.0567479841753552,0.2418663480913007,0.1195441300823956,0.3064803286373564,0.1890387733108963,0.1579542,0.0841534,0.240458,0.1235516,0.1880645999999999,0.1159736,0.1579542,-0.0841534,0.240458,-0.1235516,0.1880645999999999,-0.1159736,-3.5389147999999992,0.6075662000000001,0.1266734,0.0043273999999999,0.0416035971850367,0.0100053016125799,1.5068710714524585,0.9420253437461372,0.838559803469983,0.7214601999999999,0.5379434,0.6162097999999999,0.0445001263461809,0.0445001263461809,2.210093710346208,0.2598523628379871,0.2717178,0.1763552,5.613878996417995e-05,6.852284550046977e-05,3.394258733547855e-05,9.85845848035143e-05,0.0,8.820267913663447e-05,0.0,0.0001754442046389,5.613878996417995e-05,0.0002753265135933,3.394258733547855e-05,0.0003266376250192,0.00028600400036,0.0006717921544399,0.000930307972,0.00271207652544,0.00010360583284,9.542292704e-05,0.00028600400036,0.0006717921544399,0.000930307972,0.00271207652544,0.00010360583284,9.542292704e-05,0.24840480948896,0.00205941939156,4.8618710440000016e-05,6.721272399999999e-07,5.089298093247978e-06,8.302270218322517e-07,0.0114462193835126,0.0132639870239666,1.909533871349543e-05,0.00018271084596,0.00021182437044,0.0001409423579599,5.548017868786407e-06,5.548017868786422e-06,0.1248056334472143,0.0002054762822464,0.00234138174516,0.00069160930096
2023-03-16 22:22:02.172806,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",Asian-Pac-Islander,0.2418663480913007,0.187685295234964,0.3064803286373564,0.2613249582454011,0.0,0.0399655170563511,0.0,0.1230935519505136,0.2418663480913007,0.2612188452488695,0.3064803286373564,0.3298635908591232,0.1579542,0.0332092,0.240458,0.068065,0.1880645999999999,0.0218345999999999,0.1579542,-0.0176756,0.240458,-0.051293,0.1880645999999999,0.008215,-3.5389147999999992,-0.0463506,0.1266664,0.0056998,0.0416035971850367,0.0006688627021429,1.5068710714524585,0.116445804879268,0.838559803469983,0.7214601999999999,0.5379434,0.6162097999999999,0.0403409680184918,0.0403409680184918,2.1090279333593083,0.2766797176656572,0.4217924,0.2556621999999999,5.613878996417995e-05,0.0007581489438295,3.394258733547855e-05,0.0007341877643122,0.0,0.0005304641619957,0.0,0.0011729854408494,5.613878996417995e-05,0.0014725279918187,3.394258733547855e-05,0.0012770719414725,0.00028600400036,0.00053658178336,0.000930307972,0.002510210953,0.00010360583284,0.00036112509684,0.00028600400036,0.00132700591264,0.000930307972,0.004512083329,0.00010360583284,0.000770388629,0.24840480948896,0.02373549902564,4.792931904e-05,1.22434596e-06,5.089298093247978e-06,3.256860384420573e-07,0.0114462193835126,0.0089726321748452,1.909533871349543e-05,0.00018271084596,0.00021182437044,0.0001409423579599,5.081713633591255e-06,5.081713633591236e-06,0.2975024287936478,0.0021374952734789,0.0153556420462399,0.00434509536916
2023-03-16 22:22:02.155837,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",White,0.2418663480913007,0.1931621597724699,0.3064803286373564,0.2561133627574723,0.0,0.0590062358228339,0.0,0.117743701677672,0.2418663480913007,0.2536800676213968,0.3064803286373564,0.3185417679542091,0.1579542,0.0661428,0.240458,0.0993882,0.1880645999999999,0.0927839999999999,0.1579542,0.0661428,0.240458,0.0992902,0.1880645999999999,0.0927839999999999,-3.5389147999999992,-0.9394792,0.1287914,0.0852301999999999,0.0416035971850367,0.0114906376407326,1.5068710714524585,0.6581340560844201,0.838559803469983,0.7214601999999999,0.5379434,0.6162097999999999,0.0435818363155581,0.0435818363155581,2.10372227322026,0.2597559812311193,0.2807124,0.1828642,5.613878996417995e-05,2.809343417619968e-05,3.394258733547855e-05,2.331036540575134e-05,0.0,2.8846616073564764e-05,0.0,6.220698016744473e-05,5.613878996417995e-05,6.631033906557708e-05,3.394258733547855e-05,3.5878673477964536e-05,0.00028600400036,0.00047653119616,0.000930307972,0.00165050417476,0.00010360583284,0.00010571398,0.00028600400036,0.00047653119616,0.000930307972,0.00166997465796,0.00010360583284,0.00010571398,0.24840480948896,0.03223624470736,5.732458004000001e-05,7.859570596000001e-05,5.089298093247978e-06,1.8525888147228195e-06,0.0114462193835126,0.0085814483820353,1.909533871349543e-05,0.00018271084596,0.00021182437044,0.0001409423579599,6.316938447503632e-06,6.316938447503617e-06,0.0946089415959851,0.0001960234550596,0.0027583685222399,0.00080114368036
