timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,race|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,race|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|race|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|race|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference
2023-03-23 01:56:00.144799,1,True,Adult Dataset,No Bias Mitigation,DecisionTreeClassifier,KNearestNeighbours,"['race', 'sex']",0.15738,0.03159,0.2379,0.03876,0.18731,0.06687,0.2267,0.64339,3.41114,0.55428,0.13419,0.07784,0.0422644064526582,0.0082940804427356,1.4841320595321126,0.4410100455275757,0.8355596499309074,0.70035,0.52834,0.6023,0.042146653085071,0.042146653085071,1.7020767084238786,0.242332847763423,0.24386,0.16202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:59.539765,1,True,Adult Dataset,FairMask Bias Mitigation,DecisionTreeClassifier,KNearestNeighbours,"['race', 'sex']",0.03678,0.00351,0.04103,0.01214,0.12011,0.05181,0.44872,0.71854,1.22854,0.3917,0.0,0.0,0.0271022046660084,0.0064269292969883,0.8013472566656269,0.3305278797496946,0.8275756179947796,0.67913,0.50879,0.58175,0.026730957412202,0.026730957412202,1.1607717071906507,0.1799807184851515,0.10417,0.07031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:56.523587,1,True,Compas Dataset,No Bias Mitigation,DecisionTreeClassifier,DecisionTreeClassifier,"['sex', 'race']",0.10078,0.09924,0.08705,0.03538,0.13176,0.11288,1.2491,0.82108,0.19942,0.2179,0.31106,0.28462,0.0206710124946186,0.0247345117529609,0.2224196665904258,0.1971304314046213,0.6610995128740431,0.6813,0.69974,0.6904,0.0386867793172682,0.0386867793172681,0.3239825010286127,0.4467249437096546,0.11237,0.14087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:56.342556,1,True,Compas Dataset,FairMask Bias Mitigation,DecisionTreeClassifier,DecisionTreeClassifier,"['sex', 'race']",0.01818,0.14709,0.05159,0.08583,0.0586,0.16,1.11043,0.75393,0.09945,0.32638,0.0,0.0,0.0091938426194291,0.0350596062216914,0.1047466697778651,0.2824557854436283,0.6541405706332637,0.67908,0.6817,0.68039,0.0386896849298948,0.0386896849298948,0.3346011626486503,0.4398255799875951,0.12984,0.17126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:56.109520,1,True,Adult Dataset,No Bias Mitigation,DecisionTreeClassifier,DecisionTreeClassifier,"['race', 'sex']",0.15612,0.03536,0.23355,0.04678,0.18843,0.06792,0.2228,0.63774,3.48838,0.56803,0.13573,0.07999,0.0425186782890537,0.0084253418542923,1.5014915864277478,0.4498206752097307,0.8360202671579917,0.70182,0.52899,0.60327,0.0425419696458457,0.0425419696458457,1.704202107736192,0.2430466236681027,0.23965,0.16103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:55.496163,1,True,Adult Dataset,FairMask Bias Mitigation,DecisionTreeClassifier,DecisionTreeClassifier,"['race', 'sex']",0.049,0.0053,0.06962,0.00238,0.12646,0.05092,0.47177,0.74952,1.11968,0.33419,0.0,0.0,0.0285354717816372,0.0063166725401904,0.7512649864291668,0.2883216846666147,0.8278826961461692,0.66223,0.55049,0.60121,0.027742504809559,0.0277425048095591,1.0631183222910057,0.1918568690925949,0.14583,0.09306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:14.535617,1,True,Compas Dataset,No Bias Mitigation,KNearestNeighbours,KNearestNeighbours,"['sex', 'race']",0.10424,0.09852,0.10315,0.10546,0.136,0.12455,1.2612,0.80304,0.2071,0.24527,0.24495,0.29158,0.0224647440227916,0.0275902446961674,0.2320631129483177,0.219351413634601,0.6388308977035491,0.66033,0.67487,0.66752,0.0351579127822258,0.0351579127822257,0.4205553538317542,0.6736025844869752,0.21081,0.21019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:14.244414,1,True,Compas Dataset,FairMask Bias Mitigation,KNearestNeighbours,KNearestNeighbours,"['sex', 'race']",0.04332,0.06227,0.02565,0.03822,0.05697,0.08114,1.11712,0.85315,0.10484,0.17213,0.0,0.0,0.009409826491342,0.0179736354395635,0.1107582183787625,0.1588184614336031,0.6186499652052888,0.65642,0.60881,0.63172,0.0202865030903611,0.0202865030903611,0.2436214185701785,0.2686692498558461,0.06002,0.11825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:13.765791,1,True,Adult Dataset,No Bias Mitigation,KNearestNeighbours,KNearestNeighbours,"['race', 'sex']",0.09024,0.0289,0.10021,0.0055,0.17722,0.09216,0.32438,0.57406,2.08281,0.74196,0.12114,0.08429,0.0395172286378359,0.0115624848756466,1.125840184713901,0.5550126978807537,0.8320282511899278,0.66313,0.57443,0.6156,0.0400230612721338,0.0400230612721338,2.0494613104705355,0.2811199664826027,0.10826,0.11435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23 01:55:11.890530,1,True,Adult Dataset,FairMask Bias Mitigation,KNearestNeighbours,KNearestNeighbours,"['race', 'sex']",0.00565,0.00615,0.00284,0.0129,0.09964,0.06366,0.57773,0.69957,0.7309,0.42945,0.0,0.0,0.0222177855487928,0.0079859178759489,0.5486432601708603,0.357291125556146,0.8212805158912944,0.63685,0.55082,0.59072,0.0230057547803447,0.0230057547803447,0.9536336957975364,0.1791540254504846,0.1453,0.07787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
