timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,race|[+%] Proportion of Positive labels for the group,race|[+%] Proportion of Positive true labels for the group,race|[s0 +%] Proportion of Positive labels for the group where sex is 0,race|[s0 +%] Proportion of Positive true labels for the group where sex is 0,race|[s1 +%] Proportion of Positive labels for the group where sex is 1,race|[s1 +%] Proportion of Positive true labels for the group where sex is 1,race|[AOD] Abs Average Odds Difference,race|[EOD] Abs Equal Opportunity Difference,race|[SPD] Abs Statistical Parity Difference,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|race|[+%] Proportion of Positive labels for the group,VAR|race|[+%] Proportion of Positive true labels for the group,VAR|race|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|race|[s0 +%] Proportion of Positive true labels for the group where sex is 0,VAR|race|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|race|[s1 +%] Proportion of Positive true labels for the group where sex is 1,VAR|race|[AOD] Abs Average Odds Difference,VAR|race|[EOD] Abs Equal Opportunity Difference,VAR|race|[SPD] Abs Statistical Parity Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference
2023-03-16 21:53:08.219180,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Other,0.08160229905057062,0.08193432682231087,0.02769235298456477,0.04997311824733856,0.11966318865390187,0.10518849572195207,0.0972082,0.1828894,0.1022438,-0.025455799999999997,-0.022245799999999996,-0.1022438,0.5573384,0.0,0.0008560361000942817,0.9041322851264043,0.8394933210502074,0.7165784000000001,0.5468647999999999,0.620132,0.0008560361000942817,0.0008560361000942901,0.9041322851264043,0.1174541488123533,0.1828894,0.0972082,0.0010132338415050459,0.0015302200043891237,0.0010756862408133768,0.002204336521156957,0.0026115068981111215,0.0027151553752447263,0.00661720851876,0.026427593445640003,0.00093525535556,0.01541864491236,0.05938125046035998,0.00093525535556,0.028904811461439993,0.0,7.71926738386505e-08,0.2040555205971185,1.2747906494820881e-05,0.00023776214143999988,0.00019765162496,0.00010187313599999988,7.71926738386505e-08,7.71926738386519e-08,0.2040555205971185,0.0011121991340196536,0.026427593445640003,0.00661720851876
2023-03-16 21:53:08.204238,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Amer-Indian-Eskimo,0.1001400637599858,0.1062552829791017,0.0478607904173373,0.1026687328633292,0.1315737644452844,0.1081005956241553,0.085945,0.170538,0.0836332,-0.0441725999999999,-0.0770944,-0.0836332,0.4569635999999999,0.0,0.000784412349049,0.6929738948071917,0.8394933210502074,0.7165784000000001,0.5468647999999999,0.620132,0.000784412349049,0.0007844123490491,0.6929738948071917,0.0966875598583345,0.170538,0.085945,0.0014307245114336,0.0010759038759664,0.0014880044705535,0.0026669419891963,0.0025019017760561,0.0022753680494596,0.004837958193,0.020409241412,0.0012971727297599,0.01027328262724,0.04354890434464,0.0012971727297599,0.03930425181504,0.0,1.2728369221819617e-07,0.1949214297057671,1.274790649482088e-05,0.0002377621414399,0.00019765162496,0.0001018731359999,1.2728369221819617e-07,1.2728369221819305e-07,0.1949214297057671,0.0016063941541859,0.020409241412,0.004837958193
2023-03-16 21:53:08.188309,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Black,0.0876195582290993,0.1247811847260379,0.0281857035945476,0.0572700661715054,0.1455569226041527,0.19031474845514,0.0590379999999999,0.0794222,0.1054992,-0.0590379999999999,-0.0780886,-0.1054992,0.5460306,0.0,0.009162183728776,0.7963263509778722,0.8394933210502074,0.7165784000000001,0.5468647999999999,0.620132,0.009162183728776,0.009162183728776,0.7963263509778722,0.1228570014362728,0.0794222,0.0590379999999999,9.885534230985268e-05,0.0001676712145209,6.005989859249641e-05,0.0001508026281862,0.0003158809939919,0.0003197950227323,0.000686574488,0.00248356324116,0.00012228339136,0.000686574488,0.00269361964404,0.00012228339136,0.00265244066564,0.0,9.604672077444243e-07,0.0134278003773515,1.274790649482088e-05,0.0002377621414399,0.00019765162496,0.0001018731359999,9.604672077444243e-07,9.604672077444224e-07,0.0134278003773515,0.0001586128411366,0.00248356324116,0.000686574488
2023-03-16 21:53:08.156237,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],Asian-Pac-Islander,0.2357302860155734,0.2626687454562971,0.0475621605805866,0.1248315565361318,0.3297527026811203,0.3318938667047409,0.0473124,0.068343,0.0544985999999999,0.0452176,0.0493894,0.0544985999999999,-0.3023969999999999,0.0,0.0016929487704014,0.2576990804174809,0.8394933210502074,0.7165784000000001,0.5468647999999999,0.620132,0.0016929487704014,0.0016929487704014,0.2576990804174809,0.0694072151681683,0.068343,0.0473124,0.0006506673702128,0.0008342206155311,0.0007827071723324,0.0013495357897377,0.0010846281563477,0.0013427990424246,0.00079028389424,0.0016630815969999,0.0006929811160399,0.00098411573824,0.00389453441364,0.0006929811160399,0.022005332973,0.0,6.826934104189938e-07,0.0130560962814412,1.274790649482088e-05,0.0002377621414399,0.00019765162496,0.0001018731359999,6.826934104189938e-07,6.826934104190072e-07,0.0130560962814412,0.0011862041282034,0.0016630815969999,0.00079028389424
2023-03-16 21:53:08.140282,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],White,0.1936512331683457,0.2547871576923957,0.0592196725654228,0.1191489523942884,0.254581894431641,0.3162897098694111,0.0265248,0.036581,0.0730273999999999,0.0258523999999999,0.0289934,0.0730273999999999,-0.6154088000000001,0.0,0.0091096834075179,0.4762707376952969,0.8394933210502074,0.7165784000000001,0.5468647999999999,0.620132,0.0091096834075179,0.0091096834075179,0.4762707376952969,0.0866664454747829,0.036581,0.0265248,4.643779094156733e-05,1.929765828221008e-05,3.65115009877422e-05,6.11100611641817e-05,7.800393122269481e-05,3.5392398039153974e-05,0.00031429862496,0.0009116535969999,0.00011149369924,0.00034951705424,0.0014092059144399,0.00011149369924,0.01730302312256,0.0,1.7236542997285708e-06,0.0066447490400502,1.274790649482088e-05,0.0002377621414399,0.00019765162496,0.0001018731359999,1.7236542997285708e-06,1.72365429972858e-06,0.0066447490400502,0.0001515465004621,0.0009116535969999,0.00031429862496
2023-03-16 21:45:59.372107,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Other,0.0758064667893923,0.0898241795661889,0.0516816754801151,0.058114236424433,0.0927010830327873,0.1127415680121393,0.0938258,0.1861778,0.1056044,-0.0070449999999999,0.0212666,-0.1056044,0.5799626,0.00842,0.0008869546690082,0.9651085049966404,0.8390112083525257,0.7201298,0.5405544,0.617444,0.0008869546690082,0.0008869546690082,0.9651085049966404,0.1208266477013394,0.1861778,0.0938258,0.0009018068315823,0.0013120073177775,0.0015476751975531,0.0016096929647547,0.0018543467640995,0.0027967867535215,0.00527113276036,0.02095568800916,0.0010474579886399,0.014024781481,0.0551655929464399,0.0010474579886399,0.02907958674324,1.966528e-06,7.529121121111443e-08,0.2234202523957243,9.95233074933657e-06,0.0002196842019599,0.00010516177664,8.167676000000006e-05,7.529121121111443e-08,7.529121121111267e-08,0.2234202523957243,0.0012655246558118,0.02095568800916,0.00527113276036
2023-03-16 21:45:59.356270,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Amer-Indian-Eskimo,0.0947970395100533,0.1135050359679749,0.0323940772597025,0.0895412264740147,0.1328146764965749,0.1276744671893729,0.0994626,0.1829741999999999,0.0867713999999999,-0.0659022,-0.1184634,-0.0865413999999999,0.4778187999999999,0.0082264,0.0008161484728755,0.7066315803292385,0.8390112083525257,0.7201298,0.5405544,0.617444,0.0008161484728755,0.0008161484728755,0.7066315803292385,0.1001083508804685,0.1829741999999999,0.0994626,0.0010901572812722,0.0018376759957769,0.001185206182835,0.0053256824269936,0.002669779858119,0.0027595426041025,0.0026252038952399,0.01074076779236,0.00101257563204,0.00817491272916,0.0301867485184399,0.00105243757604,0.03253365544256,1.76680304e-06,1.070873729581335e-07,0.1068876782556699,9.95233074933657e-06,0.0002196842019599,0.00010516177664,8.167676000000006e-05,1.070873729581335e-07,1.0708737295813537e-07,0.1068876782556699,0.0012722538509443,0.01074076779236,0.0026252038952399
2023-03-16 21:45:59.341195,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Black,0.0783677017182141,0.1243925069935865,0.0299910311686216,0.0583963847505162,0.1256677182640053,0.1891661988270165,0.0744512,0.1055938,0.1129792,-0.0744512,-0.104111,-0.1129792,0.5902744000000001,0.0041822,0.009791519961176,0.9033551117967812,0.8390112083525257,0.7201298,0.5405544,0.617444,0.009791519961176,0.009791519961176,0.9033551117967812,0.1307188160675817,0.1055938,0.0744512,0.0001348284946119,0.0001184902913231,0.0001336422573523,0.0001385350795523,0.0002872012436403,0.0003431332166556,0.00068127931856,0.00223101970756,0.00015167037936,0.00068127931856,0.002541969985,0.00015167037936,0.00371198015264,7.276771600000002e-07,1.1442314178990038e-06,0.0223110552719555,9.95233074933657e-06,0.0002196842019599,0.00010516177664,8.167676000000006e-05,1.1442314178990038e-06,1.144231417899005e-06,0.0223110552719555,0.0001869693702963,0.00223101970756,0.00068127931856
2023-03-16 21:45:59.324854,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],Asian-Pac-Islander,0.1883918566467754,0.2653409997012067,0.0412518854707903,0.1243330058643079,0.2609532992254161,0.3350851971519777,0.0288556,0.0590802,0.0212453999999999,-0.0161236,-0.0428766,0.0081406,-0.0462438,0.0055918,0.0006639441710892,0.1159015677979251,0.8390112083525257,0.7201298,0.5405544,0.617444,0.0006639441710892,0.0006639441710892,0.1159015677979251,0.0260892197375732,0.0590802,0.0288556,0.000561682352645,0.0009575191880098,0.0007680671260858,0.0009681683660538,0.0012606812289397,0.0018010843873243,0.00043771905664,0.00165121687396,0.00021603450884,0.00101039423104,0.00330328407844,0.00060113216164,0.01909747661956,1.1357107599999998e-06,2.103407883335315e-07,0.0066210192476325,9.95233074933657e-06,0.0002196842019599,0.00010516177664,8.167676000000006e-05,2.103407883335315e-07,2.103407883335302e-07,0.0066210192476325,0.0003287625790558,0.00165121687396,0.00043771905664
2023-03-16 21:45:59.308332,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],White,0.1936755628791909,0.2554084760793794,0.0576043856836315,0.1201741234374892,0.2551774371112767,0.3165201914561682,0.0588166,0.0848702,0.0901638,0.0588166,0.0839642,0.0901638,-0.8900995999999999,0.0846215999999999,0.0112372309792301,0.631203541391806,0.8390112083525257,0.7201298,0.5405544,0.617444,0.0112372309792301,0.0112372309792301,0.631203541391806,0.1059552573519201,0.0848702,0.0588166,3.2156692040232494e-05,3.380358372837038e-05,3.4022221191767336e-05,4.399492716082137e-05,6.164850118665108e-05,4.779131259929136e-05,0.00041190807444,0.00121731734596,0.0001418223355599,0.00041190807444,0.00137028131236,0.0001418223355599,0.03782207501584,8.021090944e-05,2.1723086707144925e-06,0.0110075720547314,9.95233074933657e-06,0.0002196842019599,0.00010516177664,8.167676000000006e-05,2.1723086707144925e-06,2.172308670714499e-06,0.0110075720547314,0.0001863286972237,0.00121731734596,0.00041190807444
