timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[FR] Flip Rate,sex|[FR] Flip Rate,accuracy,precision,recall,f1score,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|sex|[DI] Disparate Impact,VAR|race|[FR] Flip Rate,VAR|sex|[FR] Flip Rate,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference
2023-03-05 23:45:16.545194,20,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,0.13338,0.0477099999999999,0.172924,0.0220305,0.222343,0.214171,0.589952,0.9254335,0.047122,0.0522409999999999,0.7945493628128358,0.5452565,0.8532835000000001,0.665319,0.6212669999999999,0.3270484999999999,0.00537571129,0.0001669374899999,0.012365092644,0.00030230570475,0.001553354241,0.000126168959,0.010194915886,0.00511961028275,2.6026186000000007e-05,2.4503719000000003e-05,1.365396856312774e-05,7.386566274999986e-05,0.0001034534627499,7.164516900000001e-05,0.090235560131,0.02462271267275
2023-03-05 23:45:16.534580,20,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Amer-Indian-Eskimo,0.0701399999999999,0.0477104999999999,0.0925555,0.022418,0.1528775,0.2144685,0.406173,0.9276864999999996,0.047122,0.0520795,0.7946261323506831,0.5453645,0.8533784999999998,0.665427,0.3702245,0.1880285,0.0024629648699999,0.0001760311947499,0.00596104063475,0.000330322096,0.00179934930875,0.00012794378275,0.012153314731,0.0052517775127499,2.6026186000000007e-05,2.4546314750000008e-05,1.386731550540272e-05,7.386882475000006e-05,0.0001036143927499,7.151602099999998e-05,0.0327292948247499,0.01002810419275
2023-03-05 23:45:16.524644,20,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,0.026004,0.04786,0.0312635,0.023379,0.0339855,0.2144115,0.0913955,0.931961,0.047122,0.052149,0.7950867495777676,0.5461129999999998,0.8519925,0.6655620000000001,0.1489154999999999,0.1152649999999999,0.000383972084,0.00019223403,0.00072181677275,0.000333080719,0.00051873597475,0.00013008321275,0.00380334251475,0.005554235669,2.6026186000000007e-05,2.4499269e-05,1.3853170956743629e-05,7.599939099999984e-05,0.00010670996875,7.44970960000001e-05,0.0081686480347499,0.0025622601149999
2023-03-05 23:45:16.514636,20,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,0.1211215,0.0465325,0.0967339999999999,0.024028,0.221136,0.2136875,0.562055,0.932248,0.047122,0.0519265,0.7961231383387071,0.5476825000000001,0.8512325000000001,0.6664924999999999,0.1697645,0.1555135,0.00049512752275,0.0001821003487499,0.0022354372539999,0.000335194646,0.000282598054,0.00012656873875,0.001470231895,0.0051189506559999,2.6026186000000007e-05,2.375218275e-05,1.4508240366519304e-05,7.699508874999988e-05,0.00010733667875,7.443653874999984e-05,0.00664544477475,0.00077452016275
2023-03-05 23:45:16.504635,20,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,0.012889,0.0174515,0.0319004999999999,0.0554545,0.090081,0.184699,0.3573575,0.8840490000000001,0.047122,0.0541995,0.8151543067710734,0.5819639999999999,0.8083410000000001,0.6767014999999998,0.0911505,0.0399274999999999,0.0001442091789999,9.956006275e-05,0.0008104927247499,0.00040156955475,0.000273270329,0.000132713759,0.00753572993875,0.0060956419789999,2.6026186000000007e-05,2.896830475e-05,9.9598839383204e-06,6.573048400000003e-05,8.833464900000002e-05,6.376033275000005e-05,0.00090873361475,0.0004003124787499
2023-03-05 23:44:16.934794,20,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,0.097956,0.0745115,0.176567,0.086347,0.1077485,0.1652745,0.5818485,2.2707740000000003,0.018786,0.087655,0.8521572240135115,0.752951,0.5745895,0.6516345000000001,0.6026739999999999,0.3213355,0.005858643374,0.00028696787275,0.021742659881,0.0011471727209999,0.00134845489275,4.731649475e-05,0.03707764585275,0.0345264957939999,7.458653999999999e-06,2.2466535e-05,2.2383512510582163e-05,0.0001381222689999,0.0002521801247499,0.00012855592475,0.034332636414,0.00930380543475
2023-03-05 23:44:16.924777,20,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Amer-Indian-Eskimo,0.0738915,0.0747335,0.1396879999999999,0.0865369999999999,0.091366,0.165516,0.4937594999999999,2.2755430000000003,0.018786,0.0878164999999999,0.8521188392445878,0.7526875000000001,0.5747509999999998,0.6516385000000001,0.445721,0.228776,0.0034522831527499,0.00028493938275,0.013474022446,0.0011387913409999,0.0007743147639999,4.5885254e-05,0.02167428957475,0.034139494611,7.458653999999999e-06,2.207930275e-05,2.2353750022778504e-05,0.00013505868875,0.0002526663589999,0.0001279670227499,0.0615678510289999,0.0127540782739999
2023-03-05 23:44:16.904508,20,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,0.0828319999999999,0.0752235,0.1125455,0.087446,0.0759595,0.165844,0.4181895,2.2737185,0.018786,0.0877395,0.8521649009672962,0.752215,0.57574,0.6521025,0.2985665,0.2050924999999999,0.000894205656,0.0002902594127499,0.0034422703647499,0.001154540184,0.00034472082475,4.768699399999999e-05,0.01090320509475,0.0350273092027499,7.458653999999999e-06,2.2937224749999984e-05,2.2551773704006205e-05,0.0001318628549999,0.0002511477,0.00012792825875,0.0057420385227499,0.0013193978687499
2023-03-05 23:44:16.894506,20,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,0.041729,0.0749245,0.057103,0.0868755,0.101114,0.1660395,0.5202275000000001,2.2695104999999995,0.018786,0.088071,0.8525333947489635,0.7527575,0.577202,0.6532405,0.150484,0.0978105,0.000526911599,0.00027846993475,0.001195680141,0.00110860424475,0.0002107694039999,4.757197474999996e-05,0.00478715196875,0.03398345628475,7.458653999999999e-06,2.341281900000001e-05,2.071109643849938e-05,0.0001297095787499,0.0002442361059999,0.0001201101747499,0.002425183284,0.00063346014475
2023-03-05 23:44:16.887000,20,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,0.0567275,0.0853285,0.0759255,0.094446,0.0986609999999999,0.1821915,0.8660044999999998,2.3263815,0.018786,0.0922625,0.8522263165975742,0.7317480000000001,0.6098220000000001,0.6651619999999999,0.1510415,0.1178129999999999,0.00058582086875,0.00030938911275,0.00228021250475,0.001256873004,0.000155396969,3.5645522750000014e-05,0.03467104025475,0.03586918174275,7.458653999999999e-06,2.7570208750000005e-05,1.4914188913036008e-05,8.26390759999999e-05,0.0001411799659999,6.783550599999993e-05,0.00242782016275,0.000695574631
