timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,race|[DI] Disparate Impact,sex|[FR] Flip Rate,race|[FR] Flip Rate,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|race|[DI] Disparate Impact,VAR|sex|[FR] Flip Rate,VAR|race|[FR] Flip Rate
2023-03-26 18:26:16.466642,50,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'race']",0.054056999999999994,0.1236844,0.044146200000000003,0.09720959999999998,0.0795824,0.1416958,1.1395884,0.7925228,0.0,0.0,0.000591528877,0.00064043952064,0.00093834063956,0.0007159160398399998,0.0007114789102399999,0.00063919890036,0.002303519473440001,0.0010030413521599998,0.0,0.0
2023-03-26 18:25:38.232777,50,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",0.1118895999999999,0.1225206,0.0930287999999999,0.1088559999999999,0.1391644,0.1460651999999999,1.2433902,0.7916742000000001,0.2617121999999999,0.2422962,0.0007712445718399,0.00123800930964,0.00141187996256,0.00143275154,0.0007253266086399,0.0011246449689599,0.0025536270779599,0.0017199831763599,0.00030885593316,0.0002078174275599
2023-03-26 18:25:23.681045,50,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.0255414,0.0257984,0.0425234,0.0351869999999999,0.0319062,0.032416,1.0472138000000002,0.9567624,0.064342,0.145359,0.00032106439204,0.00025820020144,0.00121836424244,0.000593875877,0.0004678265475599,0.000539261152,0.00329942823556,0.00322833686624,0.00012469442,0.000139756381
2023-03-26 18:25:18.343424,50,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.2388337999999999,0.1323358,0.1892442,0.0890126,0.2633964,0.1516108,1.4670976000000002,0.7886012,0.1413226,0.0084344,0.00077130265956,0.0005633959323599,0.00087191756436,0.0007412204552399,0.00064524358304,0.00045149456336,0.00268208384224,0.0006903360825599,0.00023654699924,3.662765264e-05
2023-03-26 18:25:14.326887,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",0.039379,0.0263917999999999,0.0693162,0.0358008,0.1100057999999999,0.0725076,0.5480505999999999,0.666844,0.0,0.0,0.000176697161,0.00027256138276,0.00070055101956,0.00055439928736,7.253487235999999e-05,0.0001315406902399,0.00094918820964,0.002589911652,0.0,0.0
2023-03-26 18:22:31.774090,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",0.1611572,0.063212,0.2461688,0.094036,0.1892768,0.0922737999999999,0.2232394,0.5265848000000001,0.1308862,0.0826775999999999,0.0003158105481599,0.0005542082519999,0.00109437536256,0.001797361404,9.478262176e-05,0.00017217580356,0.0004441569736399,0.00326584752896,4.836143155999999e-05,5.358699024e-05
2023-03-26 18:21:37.981784,50,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.0188474,0.0155129999999999,0.0557004,0.0395068,0.1858612,0.0840823999999999,0.5320597999999999,0.7585428000000001,0.0534684,0.04714,0.00016978827124,0.000112350865,0.00084458169184,0.0007553149777599,0.00014852075056,0.00029269445824,0.00065735516196,0.00225474740816,4.038335344e-05,2.3025672e-05
2023-03-26 18:21:11.864143,50,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.0933383999999999,0.0594852,0.1088856,0.085652,0.1818652,0.0993857999999999,0.2960378,0.53236,0.0927528,0.0190257999999999,0.0004226402774399,0.00053280340496,0.00157416303664,0.00137709152,5.619495296000001e-05,0.00011210769636,0.00043992262116,0.001985577444,2.792544416e-05,1.739217636e-05
